CryoSleep,Age,Transported,Cabin_Num,Cabin_Side,GroupSize,IsAlone,HasSpent,IsChild,HomePlanet_Europa,HomePlanet_Mars,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,Cabin_Deck_B,Cabin_Deck_C,Cabin_Deck_D,Cabin_Deck_E,Cabin_Deck_F,Cabin_Deck_G,RoomService_log,FoodCourt_log,ShoppingMall_log,Spa_log,VRDeck_log,TotalSpent_log
0,39.0,0,0.0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,24.0,1,0.0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,4.700480365792417,2.302585092994046,3.258096538021482,6.309918278226516,3.8066624897703196,6.602587892189336
0,58.0,0,0.0,1,2,0,1,0,1,0,0,1,0,0,0,0,0,0,3.784189633918261,8.182279739259018,0.0,8.812248018197431,3.912023005428146,9.248021438943871
0,33.0,0,0.0,1,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0.0,7.157735484249907,5.918893854273146,8.110727582974489,5.267858159063328,8.551981016901902
0,16.0,1,1.0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,5.717027701406222,4.2626798770413155,5.0238805208462765,6.338594078203183,1.0986122886681096,6.9957661563048505
0,44.0,1,0.0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0.0,6.182084906716632,0.0,5.676753802268282,0.0,6.652863029353347
0,26.0,1,2.0,1,2,0,1,0,0,0,0,1,0,0,0,0,1,0,3.7612001156935624,7.3395376954076745,1.3862943611198906,0.0,0.0,7.368339686311381
1,28.0,1,0.0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,35.0,1,3.0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0.0,6.666956792429207,2.8903717578961645,5.37989735354046,0.0,6.926577033222725
1,14.0,1,1.0,0,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,34.0,1,1.0,0,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,45.0,1,1.0,0,3,0,1,0,1,0,0,0,1,0,0,0,0,0,3.6888794541139363,8.895081531754167,6.380122536899765,4.709530201312334,4.8283137373023015,9.006754319877503
0,32.0,1,1.0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,4.304065093204169,0.0,7.024649030453636,0.0,4.736198448394496,7.177782416195197
0,48.0,0,1.0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,6.579251212010101,0.6931471805599453,4.189654742026425,0.0,3.2188758248682006,6.697034247666484
0,28.0,1,2.0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,2.1972245773362196,6.882437470997847,2.5649493574615367,1.0986122886681096,2.0794415416798357,6.911747300251674
0,31.0,0,933.5,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,3.4965075614664802,0.0,6.776506992372183,0.0,0.0,6.812345094177479
0,27.0,0,3.0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,7.160069207596127,4.812184355372417,0.0,0.0,0.0,7.25063551189868
0,24.0,0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0.6931471805599453,0.0,0.0,6.45833828334479,6.459904454377535
1,45.0,1,5.0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,1,0.0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,14.0,0,6.0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,6.023447592961033,0.0,0.6931471805599453,0.0,6.522092798170152,6.996681488176539
1,1.0,0,0.0,1,6,0,0,1,0,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,49.0,0,0.0,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,29.0,0,0.0,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,10.0,1,0.0,1,6,0,0,1,0,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0,0.0,1,6,0,0,1,0,0,1,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,7.0,0,0.0,1,6,0,0,1,0,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,21.0,0,0.0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,6.8885724595653635,1.0986122886681096,4.248495242049359,0.0,0.0,6.9584483932976555
